country,europa,1976_p,1980_p,1984_p,1988_p,1992_p,1994_p,1998_p,2002_p,2006_p,2010_p,2014_p,2018_p,2022_p,1976_m,1980_m,1984_m,1988_m,1992_m,1994_m,1998_m,2002_m,2006_m,2010_m,2014_m,2018_m,2022_m
Andorra,True,,,,,,,,2,2,2,1,1,1,,,,,,,,0,0,0,0,0,0
Argentina,False,,,,,,,,,,2,3,2,2,,,,,,,,,,0,0,0,0
Armenia,False,,,,,,,8,6,2,2,1,1,,,,,,,,0,0,0,0,0,0,
Australia,False,,2,3,5,5,6,4,6,10,11,8,11,7,,0,0,0,4,9,2,7,2,4,2,4,1
Austria,True,24,34,59,52,31,38,34,22,24,19,13,13,16,35,22,70,44,20,35,34,29,14,11,11,7,13
Azerbaijan,False,,,,,,,,,,,,,1,,,,,,,,,,,,,0
Belarus,True,,,,,,2,5,4,6,9,10,14,,,,,,,0,0,2,9,9,3,12,
Belgium,True,5,,3,2,3,2,,,1,1,2,2,2,0,,0,0,0,1,,,0,0,0,1,0
Bosnia and Herzegovina,True,,,,,,,,,,1,2,1,2,,,,,,,,,,0,0,0,0
Brazil,False,,,,,,,,,,,2,3,6,,,,,,,,,,,0,0,0
Bulgaria,True,,,,,,2,3,1,3,3,2,1,,,,,,,0,0,0,0,0,0,0,
Canada,False,6,20,22,20,19,31,33,27,34,46,49,52,44,4,6,14,13,12,8,15,15,13,19,16,28,25
Chile,False,,,,,,,,2,2,2,2,4,4,,,,,,,,0,0,0,0,0,0
Croatia,True,,,,,,,,2,1,4,2,7,4,,,,,,,,0,0,0,0,2,0
Czech Republic,True,,,,,,6,6,6,5,18,18,21,,,,,,,1,7,5,1,1,0,0,
Czechia,True,,,,,,,,,,,,,21,,,,,,,,,,,,,0
Czechoslovakia,True,5,3,2,4,16,,,,,,,,,3,1,0,0,6,,,,,,,,
Denmark,True,,8,5,3,5,3,3,1,6,2,2,1,1,,0,0,0,1,3,2,0,0,0,0,0,0
Estonia,True,,,,,1,13,15,13,,,,,5,,,,,0,1,0,0,,,,,0
Finland,True,26,29,30,21,17,18,21,14,7,5,13,13,6,22,35,34,25,14,24,19,8,0,2,1,3,4
France,True,21,21,16,16,31,26,25,18,19,21,14,11,14,5,3,6,13,19,31,22,19,15,6,12,20,12
Georgia,False,,,,,,,,,,,,2,1,,,,,,,,,,,,0,0
Germany,True,,,,,36,43,40,26,34,20,13,20,17,,,,,38,64,44,33,18,24,15,19,19
Great Britain,True,6,8,22,21,15,23,21,2,20,12,12,14,21,0,0,10,0,5,5,0,0,1,0,6,7,6
Greece,True,,,,,,,,1,,2,1,1,2,,,,,,,,0,,0,0,0,0
Hungary,True,,,,,,,,1,2,2,,2,1,,,,,,,,0,0,0,,0,0
Iceland,True,,,,,,1,,,,1,2,1,1,,,,,,0,,,,0,0,0,0
Islamic Republic of Iran,False,,,,,,,2,1,1,1,1,5,4,,,,,,,0,0,0,0,0,0,0
Israel,False,,,,,,,,,,,,,1,,,,,,,,,,,,,0
Italy,True,,1,7,24,27,23,21,13,39,35,33,25,29,,0,1,9,4,13,10,9,8,7,0,5,7
Japan,False,1,5,15,13,15,26,67,36,40,41,20,38,29,0,0,0,2,2,6,41,3,9,11,6,10,7
Kazakhstan,False,,,,,,2,1,1,2,1,5,6,5,,,,,,1,0,0,0,0,0,1,1
Korea DPR,False,,,,,,,,,,,,2,,,,,,,,,,,,,0,
Latvia,True,,,,,,1,,,1,,,,5,,,,,,0,,,0,,,,0
Liechtenstein,True,,,,,1,1,,,,,,,1,,,,,0,1,,,,,,,0
Lithuania,True,,,,,,2,,,,,,,,,,,,,0,,,,,,,
Mexico,False,,,,,,,,,1,2,1,1,1,,,,,,,,,0,0,0,0,0
Mongolia,False,,,,,,,,,1,2,1,1,3,,,,,,,,,0,0,0,0,0
Netherlands,True,,,6,8,7,6,3,4,,1,7,9,8,,,0,0,0,4,2,4,,0,1,7,4
Neutral Para Athlete,False,,,,,,,,,,,1,30,,,,,,,,,,,,0,0,
New Zealand,False,,3,8,3,7,7,5,2,2,2,3,3,3,,0,5,1,2,6,6,6,0,1,1,3,4
Norway,True,23,37,37,21,23,42,43,27,28,27,30,31,13,12,54,41,60,14,64,40,19,5,6,4,8,7
People's Republic of China,False,,,,,,,,4,7,7,10,26,96,,,,,,,,0,0,0,0,1,61
Poland,True,7,,16,18,13,15,26,14,10,12,7,7,11,0,,13,8,5,10,2,3,2,1,0,1,0
Puerto Rico,False,,,,,,,,,,,,,1,,,,,,,,,,,,,0
Republic of Korea,False,,,,,2,2,4,6,3,25,27,36,31,,,,,0,0,0,1,0,1,0,3,0
Romania,True,,,,,,,,,,1,1,1,2,,,,,,,,,,0,0,0,0
Russian Federation,False,,,,,,27,35,26,29,31,68,,,,,,,,30,31,21,33,38,80,,
Serbia,True,,,,,,,,,,1,1,1,,,,,,,,,,,0,0,0,
Slovakia,True,,,,,,11,18,14,16,13,15,11,27,,,,,,5,10,9,2,11,7,11,6
Slovenia,True,,,,,,,1,,1,1,1,1,1,,,,,,,0,,0,0,0,0,0
South Africa,False,,,,,,,1,1,1,1,,,,,,,,,,0,0,0,0,,,
Spain,True,,,4,7,13,14,14,8,9,5,7,3,2,,,0,4,4,10,8,7,2,3,3,2,0
Sweden,True,16,27,22,17,9,27,24,19,18,25,22,24,9,20,16,14,15,4,8,6,9,1,2,4,1,7
Switzerland,True,15,27,50,32,19,19,19,18,20,15,8,13,12,12,10,37,23,15,16,23,12,2,3,1,3,1
Tajikistan,False,,,,,,,,,,,,1,,,,,,,,,,,,,0,
Turkey,False,,,,,,,,,,,2,1,,,,,,,,,,,,0,0,
USSR,False,,,,8,,,,,,,,,,,,,2,,,,,,,,,
Uganda,False,1,1,,,,,,,,,,,,0,0,,,,,,,,,,,
Ukraine,True,,,,,,,11,10,12,19,23,20,20,,,,,,,9,12,25,19,25,22,29
United States of America,False,1,26,51,45,29,30,49,57,55,49,72,68,65,0,6,35,30,45,43,34,43,12,13,18,36,20
Uzbekistan,False,,,,,,,,,,,2,1,,,,,,,,,,,,0,0,
West Germany,True,32,38,31,34,,,,,,,,,,28,18,34,30,,,,,,,,,
Yugoslavia,True,9,9,10,3,,,,,,,,,,0,0,1,0,,,,,,,,,